*1000Hz	-38.6
	
20.00	0.1
20.55	-0.2
21.11	-0.5
21.69	-0.8
22.29	-1.0
22.90	-1.2
23.53	-1.4
24.18	-1.5
24.84	-1.5
25.52	-1.5
26.22	-1.4
26.94	-1.4
27.68	-1.2
28.44	-1.1
29.22	-1.0
30.03	-0.9
30.85	-0.7
31.70	-0.6
32.57	-0.5
33.46	-0.4
34.38	-0.3
35.33	-0.2
36.30	-0.1
37.29	0.0
38.32	0.0
39.37	0.1
40.45	0.1
41.56	0.1
42.70	0.2
43.87	0.2
45.08	0.2
46.32	0.2
47.59	0.2
48.90	0.3
50.24	0.3
51.62	0.3
53.03	0.4
54.49	0.4
55.99	0.4
57.52	0.4
59.10	0.4
60.73	0.4
62.39	0.4
64.11	0.4
65.87	0.4
67.68	0.4
69.54	0.4
71.44	0.5
73.41	0.5
75.42	0.5
77.49	0.6
79.62	0.6
81.81	0.7
84.05	0.7
86.36	0.8
88.73	0.9
91.17	0.9
93.67	0.9
96.25	0.9
98.89	0.8
101.60	0.8
104.39	0.8
107.26	0.8
110.21	0.8
113.23	0.9
116.34	1.0
119.54	1.0
122.82	1.1
126.19	1.1
129.66	1.1
133.22	1.1
136.87	1.1
140.63	1.1
144.50	1.1
148.46	1.1
152.54	1.1
156.73	1.0
161.03	1.0
165.45	0.9
170.00	0.9
174.67	0.8
179.46	0.8
184.39	0.7
189.45	0.7
194.65	0.6
200.00	0.6
205.49	0.7
211.13	0.7
216.93	0.7
222.89	0.6
229.01	0.6
235.30	0.5
241.76	0.5
248.40	0.4
255.22	0.4
262.23	0.3
269.43	0.1
276.83	0.0
284.43	-0.2
292.24	-0.3
300.26	-0.4
308.51	-0.5
316.98	-0.5
325.68	-0.4
334.63	-0.2
343.81	-0.1
353.26	0.1
362.96	0.4
372.92	0.7
383.16	1.0
393.68	1.3
404.49	1.3
415.60	1.3
427.01	1.3
438.74	1.2
450.79	1.2
463.17	1.2
475.88	1.1
488.95	1.1
502.38	1.0
516.17	0.9
530.35	0.8
544.91	0.7
559.87	0.7
575.25	0.6
591.04	0.4
607.27	0.3
623.95	0.2
641.08	0.1
658.68	0.1
676.77	0.1
695.35	0.2
714.45	0.4
734.07	0.6
754.22	0.8
774.94	1.0
796.21	1.1
818.08	1.2
840.54	1.2
863.62	1.1
887.34	0.9
911.70	0.7
936.74	0.5
962.46	0.3
988.89	0.1
1016.04	0.0
1043.94	0.0
1072.61	0.0
1102.06	0.0
1132.33	0.1
1163.42	0.2
1195.37	0.2
1228.19	0.2
1261.91	0.1
1296.57	0.0
1332.17	-0.1
1368.75	-0.2
1406.34	-0.3
1444.95	-0.3
1484.63	-0.2
1525.40	-0.2
1567.28	-0.2
1610.32	-0.3
1654.54	-0.4
1699.97	-0.5
1746.65	-0.4
1794.61	-0.1
1843.89	0.2
1894.53	0.5
1946.55	0.6
2000.00	0.6
2054.92	0.5
2111.35	0.4
2169.32	0.4
2228.89	0.4
2290.10	0.5
2352.98	0.6
2417.59	0.5
2483.98	0.3
2552.19	0.3
2622.27	0.4
2694.27	0.4
2768.26	0.6
2844.27	0.6
2922.37	0.6
3002.62	0.6
3085.07	0.6
3169.79	0.6
3256.83	0.7
3346.26	0.9
3438.14	1.2
3532.55	1.4
3629.56	1.3
3729.22	1.0
3831.62	0.5
3936.84	0.1
4044.94	-0.1
4156.01	0.0
4270.14	0.3
4387.39	0.7
4507.87	0.9
4631.65	0.4
4758.83	-0.3
4889.51	-0.6
5023.77	-0.2
5161.72	0.1
5303.46	0.4
5449.09	0.5
5598.72	0.4
5752.46	0.4
5910.42	0.4
6072.72	0.4
6239.47	0.3
6410.80	0.3
6586.84	0.6
6767.71	1.1
6953.55	1.6
7144.49	1.9
7340.67	2.3
7542.24	2.8
7749.35	2.8
7962.14	2.1
8180.78	1.7
8405.42	1.9
8636.23	2.0
8873.37	1.9
9117.03	1.7
9367.38	1.8
9624.61	2.2
9888.89	2.2
10160.44	1.9
10439.44	2.2
10726.10	2.6
11020.63	2.1
11323.25	1.6
11634.18	1.9
11953.65	1.7
12281.89	1.4
12619.15	1.9
12965.66	1.6
13321.69	1.3
13687.50	1.7
14063.35	1.1
14449.52	1.1
14846.30	1.1
15253.97	1.0
15672.84	0.9
16103.21	1.0
16545.39	1.1
16999.72	1.0
17466.52	1.0
17946.14	1.0
18438.94	1.5
18945.26	1.6
19465.49	2.2
20000.00	2.5
